,y,prediction
379,1,1
380,2,2
381,1,1
382,1,1
383,1,1
384,1,1
385,2,2
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
392,1,1
394,1,1
395,1,1
396,1,1
397,1,1
398,1,1
399,2,2
400,1,1
401,1,1
402,2,2
403,1,1
404,1,1
405,1,1
406,1,1
408,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,2,2
415,1,1
416,1,1
417,2,2
418,1,1
419,1,1
420,1,1
421,1,1
422,2,2
423,1,1
424,1,1
425,1,2
426,1,1
428,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,2
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,1,1
451,1,1
453,1,2
454,1,1
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,1
466,1,1
467,1,1
468,1,1
469,1,1
470,1,1
471,1,1
472,1,1
473,1,1
474,1,2
475,1,1
476,1,1
477,1,1
478,1,2
479,1,1
480,1,1
481,1,1
482,1,1
483,1,1
484,1,2
485,1,1
486,1,1
487,1,1
488,1,1
489,1,1
491,2,2
493,1,1
494,1,1
495,1,1
496,1,1
497,1,1
498,1,1
499,1,1
500,1,1
501,1,1
502,1,1
503,1,1
504,1,1
506,1,1
507,1,1
508,1,2
509,1,1
510,1,1
511,1,1
512,1,1
513,1,1
514,1,1
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
524,1,1
526,1,1
527,1,1
528,1,1
529,1,1
530,1,1
531,1,1
532,2,2
533,1,1
534,2,2
535,1,1
536,1,1
537,1,1
538,1,1
540,1,1
541,1,1
542,2,2
544,1,1
545,1,1
546,1,1
547,1,1
548,1,1
549,1,1
550,1,1
551,1,1
552,1,1
553,1,2
554,1,1
555,1,1
556,2,2
557,1,1
558,1,1
559,1,1
560,1,1
561,1,1
562,1,1
563,1,1
564,1,1
565,2,2
566,1,1
567,1,1
568,2,2
569,1,1
570,1,1
571,1,2
573,1,1
574,1,1
575,1,1
576,1,1
577,1,1
578,1,1
579,2,2
580,1,1
581,1,1
582,1,1
583,1,1
585,1,1
587,1,1
588,1,1
590,2,2
591,1,1
592,1,1
593,2,2
594,1,1
595,2,2
596,1,1
597,1,1
598,2,2
599,2,2
600,1,1
601,1,1
602,1,1
603,1,1
604,1,1
606,1,1
607,1,1
608,1,1
609,1,1
610,1,1
613,2,2
614,1,1
615,1,1
616,1,1
617,1,1
618,1,1
619,1,1
620,1,1
621,1,1
622,1,1
623,1,1
624,1,1
625,1,1
626,1,1
627,1,1
628,1,1
629,1,1
630,1,1
631,1,1
632,1,1
633,1,1
634,1,1
635,1,1
637,1,1
638,1,1
639,1,1
640,1,1
641,1,1
642,1,1
643,1,1
644,1,1
645,1,1
646,1,1
647,1,1
648,1,1
649,1,1
650,1,1
651,1,1
652,1,1
653,2,2
654,2,2
656,1,1
657,1,1
658,1,1
659,1,1
661,1,1
662,2,2
663,2,2
664,1,1
665,1,1
666,1,1
667,1,1
668,1,1
669,1,1
670,1,1
671,1,1
672,1,1
673,1,1
674,1,1
675,1,1
676,1,1
677,1,1
678,1,1
679,1,1
680,1,2
681,1,1
682,1,1
683,1,1
684,1,1
685,1,1
686,1,1
690,1,1
691,1,1
692,1,1
693,1,1
695,1,1
697,2,2
698,2,2
699,1,1
701,1,1
702,1,1
703,1,1
704,1,1
705,1,1
706,1,1
707,1,1
708,1,1
709,1,1
710,1,1
711,1,1
713,1,1
714,1,1
715,1,1
716,1,1
717,1,1
718,1,1
719,1,1
720,1,1
721,1,1
724,1,1
725,2,2
726,1,1
727,1,1
729,1,1
730,1,1
731,1,1
732,2,2
733,2,2
736,1,2
737,2,2
738,1,1
739,1,1
740,1,1
741,1,1
742,1,1
743,1,1
744,1,1
745,1,1
746,1,1
747,1,1
748,2,2
749,1,1
750,1,1
751,1,1
752,1,1
753,1,1
754,1,1
755,1,1
756,1,1
757,1,1
758,1,1
759,1,1
760,1,1
762,1,1
763,1,1
764,1,1
766,1,2
768,1,1
769,1,1
770,1,1
771,1,1
772,1,1
773,1,2
774,1,1
775,1,1
779,1,1
780,1,1
781,1,1
782,1,1
783,1,1
784,1,1
785,2,2
786,1,1
787,1,1
788,2,2
789,1,1
790,1,1
791,1,1
792,1,1
793,1,1
794,2,2
795,2,2
796,1,1
797,1,1
798,2,2
799,1,1
800,1,1
801,1,1
802,2,2
803,1,1
804,1,1
805,1,1
806,1,1
809,1,2
811,1,1
812,2,2
813,2,2
814,2,2
815,1,1
816,1,1
817,1,1
818,1,2
819,1,1
820,1,1
821,1,1
822,1,1
823,1,1
824,1,1
826,1,2
827,1,1
828,1,1
829,1,1
832,1,1
833,1,1
834,1,1
835,2,2
836,1,1
837,2,2
838,1,1
839,1,1
840,1,1
841,2,2
842,1,1
843,1,1
845,1,1
846,1,1
847,1,1
848,1,1
849,1,1
850,1,1
851,1,1
852,1,1
853,1,1
855,1,1
856,1,1
857,1,1
858,1,1
859,2,2
860,1,1
861,1,1
862,1,1
863,1,1
864,1,1
865,1,1
866,1,1
867,1,1
868,1,1
869,1,1
870,1,1
871,1,1
872,1,1
873,1,1
874,1,1
875,1,1
876,1,1
877,1,1
878,1,1
879,1,1
880,1,2
884,1,1
885,1,1
887,1,1
888,1,1
889,1,1
890,1,1
891,1,1
892,1,1
893,1,1
894,1,1
895,1,1
896,1,1
897,1,1
898,1,1
899,1,1
900,1,1
901,1,1
902,1,1
903,1,1
904,1,1
905,1,1
906,2,2
907,1,1
908,2,2
909,2,2
910,1,1
912,1,1
913,1,1
914,1,1
915,1,1
916,1,1
917,1,1
918,1,1
919,1,1
920,1,1
921,1,1
922,1,1
923,1,1
924,1,1
925,1,1
926,1,1
927,2,2
928,1,1
929,1,1
930,1,1
931,1,1
932,2,2
934,1,1
935,1,1
936,1,1
937,1,1
938,1,1
939,1,1
940,1,1
941,1,1
942,2,2
943,1,1
944,1,1
946,1,1
947,1,1
948,1,1
949,2,2
950,2,2
951,1,1
953,1,1
954,1,1
955,1,1
956,2,2
957,1,1
958,1,1
959,1,1
960,1,1
961,1,1
962,1,1
963,1,1
964,1,1
966,2,2
967,1,1
968,1,1
969,1,1
970,1,1
971,1,1
972,1,1
973,1,1
974,1,1
975,1,1
976,1,1
978,1,1
979,1,1
980,1,1
981,1,1
982,1,1
983,1,1
985,1,1
986,1,1
987,1,1
988,1,1
989,1,1
990,1,1
991,1,1
992,1,1
993,1,1
994,1,1
995,1,1
996,1,1
997,1,1
998,1,1
999,2,2
1000,1,1
1001,1,1
1002,1,1
1003,2,2
1004,1,1
1005,1,1
1006,1,1
1007,1,1
1008,1,1
1009,1,1
1010,1,1
1011,1,1
1012,1,1
1013,1,1
1014,1,1
1015,1,1
1016,1,1
1017,1,1
1018,2,2
1019,1,1
1020,1,1
1021,1,1
1022,1,1
1023,1,1
1024,2,2
1025,2,2
1026,1,1
1027,1,1
1028,1,1
1029,1,1
1030,1,1
1031,2,2
1034,1,1
1036,1,1
1038,1,1
1039,2,2
1041,1,1
1043,1,1
1044,1,1
1046,1,1
1047,2,2
1048,1,1
1049,1,1
1050,1,1
1051,1,1
1052,1,1
1053,1,1
1054,1,1
1056,1,2
1057,1,1
1058,1,1
1059,1,1
1060,1,1
1061,1,2
1062,1,1
1063,1,1
1064,2,2
1065,1,1
1067,1,1
1068,1,1
1069,1,1
1070,1,1
1071,2,2
1072,1,1
1073,1,1
1074,1,1
1075,1,1
1076,1,1
1077,2,2
1078,1,1
1079,1,1
1080,1,1
1081,2,2
1082,1,1
1083,1,1
1085,1,1
1086,1,1
1087,1,1
1088,2,2
1089,1,1
1090,1,1
1091,1,1
1092,1,1
1093,1,1
1094,1,1
1095,2,2
1096,1,1
1097,1,1
1098,1,1
1100,1,1
1101,1,1
1102,1,1
1103,2,2
1104,1,1
1105,1,1
1107,1,1
1108,1,1
1109,1,1
1110,1,1
1111,2,2
1112,1,1
1113,1,1
1114,1,1
1115,1,1
1116,1,1
1117,1,1
1118,1,1
1119,1,1
1120,1,1
1121,1,1
1122,1,1
1123,1,1
1124,1,1
1125,1,1
1126,1,1
1127,1,1
1128,1,1
1129,1,1
1130,2,2
1131,1,1
1132,2,2
1133,1,1
1134,1,1
1136,1,1
1137,1,1
1138,1,1
1139,1,1
1140,1,1
1141,1,1
1142,1,1
1143,1,1
1144,1,1
1145,1,1
1147,1,1
1148,1,1
1150,1,1
1151,1,1
1152,2,2
1153,1,1
1154,2,2
1155,1,1
1156,1,1
1158,1,1
1159,1,1
1160,1,1
1161,1,1
1162,1,1
1163,1,1
1165,1,1
1166,2,2
1167,1,1
1168,1,1
1169,1,1
1170,1,1
1171,1,1
1172,1,1
1173,1,1
1174,1,1
1175,1,1
1177,1,1
1178,1,1
1180,1,1
1181,1,1
1182,1,1
1183,1,1
1184,1,1
1185,1,1
1186,1,1
1187,2,2
1188,1,1
1189,1,1
1190,1,1
1191,1,1
1192,1,1
1193,1,1
1194,1,1
1196,1,1
1199,1,1
1201,1,1
1202,1,1
1203,1,1
1204,2,2
1205,1,1
1206,1,1
1208,1,1
1209,1,1
1210,1,1
1211,1,1
1212,1,1
1213,1,1
1215,2,2
1216,1,1
1217,1,1
1218,1,1
1219,1,1
1220,1,1
1221,1,1
1222,1,1
1223,1,1
1224,1,1
1225,1,1
1226,1,1
1227,1,1
1228,2,2
1229,1,1
1230,1,1
1231,2,2
1232,1,1
1233,1,1
1234,1,1
1235,1,1
1236,1,1
1237,1,1
1238,1,1
1239,1,1
1240,2,2
1242,2,2
1243,2,2
1245,1,1
1246,1,1
1247,1,1
1248,1,1
1249,1,1
1250,1,1
1251,1,1
1252,1,1
1253,2,2
1254,2,2
1255,1,1
1256,2,2
1257,1,1
1258,1,1
1259,2,2
1260,2,2
1261,2,2
1262,2,2
1263,1,1
1264,1,1
1265,1,1
1266,1,1
1267,2,2
1269,1,1
1270,1,1
1271,1,1
1272,2,2
1274,1,1
1275,2,2
1276,1,1
1277,1,1
1278,1,1
1279,1,1
1280,1,1
1281,1,1
1282,1,1
1283,1,1
1284,1,1
1285,1,1
1286,2,2
1287,1,1
1288,1,1
1289,1,1
1290,1,1
1291,1,1
1293,2,2
1294,2,2
1295,1,1
1296,1,1
1297,1,1
1298,1,1
1299,1,1
1300,1,1
1301,1,1
1302,1,1
1303,1,1
1304,1,1
1305,1,1
1306,1,1
1307,1,1
1308,1,1
1309,1,1
1310,1,1
1311,1,1
1313,1,1
1314,1,1
1315,1,1
1316,1,1
1318,1,1
1319,1,1
1320,1,1
1321,2,2
1322,1,1
1324,1,1
1325,1,1
1326,1,1
1327,1,1
1328,1,1
1329,1,1
1330,1,1
1331,1,1
1332,2,2
1333,1,1
1334,1,1
1335,1,1
1336,1,1
1337,1,1
1338,1,1
1339,1,1
1340,1,1
1341,1,1
1342,2,2
1343,1,1
1344,1,1
1345,1,1
1346,2,2
1347,1,1
1348,1,1
1349,1,1
1350,1,1
1351,1,1
1352,1,1
1353,1,1
1354,1,1
1355,1,1
1356,1,1
1358,1,1
1359,1,1
1361,2,2
1362,1,1
1363,1,1
1364,1,1
1365,1,1
1366,1,1
1368,1,1
1369,1,1
1371,1,1
1372,1,1
1373,1,1
1374,2,2
1375,2,2
1376,1,1
1377,1,1
1378,2,2
1379,1,1
1380,2,2
1381,1,1
1382,2,2
1383,1,1
1384,1,1
1385,1,1
1386,1,1
1387,1,1
1388,1,1
1389,1,1
1390,1,1
1391,1,1
1392,1,1
1393,1,1
1395,1,1
1396,1,1
1397,1,1
1398,1,1
1399,2,2
1400,1,1
1401,1,1
1403,1,1
1404,1,1
1406,1,1
1407,1,1
1408,1,1
1409,1,1
1410,1,1
1411,1,1
1412,1,1
1413,1,1
1414,1,1
1415,1,1
1416,1,1
1417,1,1
1419,1,1
1420,2,2
1421,1,1
1422,1,1
1423,1,1
1424,1,1
1425,1,1
1426,1,1
1427,1,1
1428,1,1
1429,2,2
1430,1,1
1432,2,2
1433,2,2
1434,2,2
1435,1,1
1436,1,1
1437,2,2
1439,1,1
1440,1,1
1442,1,1
1443,1,1
1444,2,2
1445,2,2
1446,1,1
1447,1,1
1448,1,1
1450,1,1
1451,2,2
1452,1,1
1453,2,2
1454,1,1
1455,1,1
1456,1,1
1457,1,1
1459,2,2
1460,1,1
1461,1,1
1462,1,1
1463,1,1
1464,1,1
1465,1,1
1466,1,1
1467,1,1
1468,1,1
1469,1,1
1470,1,1
1471,1,1
1472,2,2
1473,1,1
1474,1,1
1475,1,1
1476,1,1
1477,1,1
1479,1,1
1480,1,1
1481,1,1
1482,1,1
1483,1,1
1484,1,1
1485,2,2
1486,1,1
1487,1,1
1488,1,1
1489,2,2
1490,1,1
1491,2,2
1492,1,1
1493,1,1
1494,1,1
1495,1,1
1496,1,1
1497,1,1
1498,1,1
1500,1,1
1501,1,1
1503,1,1
1504,1,1
1505,1,1
1506,2,2
1507,1,1
1508,1,1
1509,1,1
1510,1,1
1511,1,1
1512,1,1
1513,1,1
1514,1,1
1515,1,1
1516,1,1
1517,1,1
1518,1,1
1519,1,1
1521,1,1
1522,1,1
1523,1,1
1524,1,1
1525,1,1
1526,1,1
1527,1,1
1528,1,1
1529,1,1
1530,2,2
1531,1,1
1533,1,1
1534,1,1
1535,2,2
1536,1,1
1538,1,1
1539,1,1
1540,2,2
1541,1,1
1542,1,1
1544,1,1
1545,1,1
1546,2,2
1547,1,1
1548,1,1
1549,1,1
1550,1,1
1551,1,1
1552,1,1
1553,1,1
1554,1,1
1555,2,2
1556,1,1
1558,1,1
1559,1,1
1560,1,1
1561,1,1
1562,1,1
1563,1,1
1564,1,1
1565,1,1
1566,2,2
1567,1,1
1569,1,1
1570,1,1
1572,1,1
1574,1,1
1576,1,1
1577,2,2
1578,1,1
1579,2,2
1580,1,1
1581,1,1
1582,1,1
1583,2,2
1584,1,1
1585,2,2
1586,1,1
1587,1,1
1588,1,1
1589,1,1
1590,1,1
1591,1,1
1592,1,1
1593,1,1
1594,1,1
1595,1,1
1596,1,1
1597,1,1
1598,1,1
1599,1,1
1600,1,1
1601,1,1
1602,1,1
1603,1,1
1604,1,1
1605,1,1
1606,1,1
1607,1,1
1608,1,1
1609,1,1
1610,1,1
1611,1,1
1612,1,1
1613,2,2
1615,1,1
1616,1,1
1617,1,1
1618,1,1
1619,1,1
1620,1,1
1621,1,1
1622,1,1
1623,1,1
1625,2,2
1626,1,1
1627,1,1
1628,2,2
1630,2,2
1631,1,1
1632,1,1
1633,1,1
1634,1,1
1635,1,1
1636,2,2
1637,2,2
1638,1,1
1639,1,1
1640,1,1
1641,1,1
1643,1,1
1644,1,1
1645,1,1
1647,1,1
1648,1,1
1649,1,1
1650,1,1
1651,1,1
1652,1,1
1653,1,1
1654,1,1
1655,1,1
1657,1,1
1658,1,1
1659,1,1
1660,1,1
1661,1,1
1662,1,1
1663,1,1
1664,1,1
1665,2,2
1666,1,1
1667,2,2
1668,1,1
1669,2,2
1670,1,1
1671,1,1
1672,1,1
1673,1,1
1675,1,1
1676,1,1
1677,1,1
1678,1,1
1679,1,1
1681,1,1
1682,1,1
1683,2,2
1684,1,1
1685,1,1
1686,1,1
1687,1,1
1688,1,1
1689,1,1
1691,1,1
1692,1,1
1693,1,1
1694,1,1
1695,1,1
1696,1,1
1697,1,1
1698,1,1
1699,1,1
1700,1,1
1701,1,1
1702,1,1
1704,1,1
1705,1,1
1706,1,1
1707,2,2
1708,1,1
1709,1,1
1711,1,1
1712,1,1
1713,1,1
1714,1,1
1715,1,1
1716,1,1
1717,1,1
1718,1,1
1719,1,1
1720,1,1
1721,1,1
1722,1,1
1724,1,1
1725,2,2
1726,1,1
1727,1,1
1728,1,1
1729,1,1
1730,1,1
1731,2,2
1732,1,1
1733,1,1
1734,2,2
1735,1,1
1737,1,1
1738,1,1
1739,2,2
1740,1,1
1741,1,1
1742,1,1
1743,1,1
1744,1,1
1745,2,2
1746,1,1
1747,1,1
1748,2,2
1749,1,1
1750,1,1
1751,1,1
1753,1,1
1754,2,2
1755,1,1
1756,1,1
1757,1,1
1758,1,1
1760,1,1
1761,1,1
1762,1,1
1763,1,1
1764,1,1
1765,2,2
1766,1,1
1767,1,1
1768,1,1
1769,1,1
1770,1,1
1771,1,1
1772,1,1
1773,1,1
1774,1,1
1775,1,1
1776,1,1
1777,2,2
1778,2,2
1779,1,1
1780,1,1
1781,1,1
1782,1,1
1783,2,2
1784,1,1
1785,1,1
1786,2,2
1787,1,1
1788,1,1
1789,1,1
1792,1,1
1793,1,1
1795,2,2
1796,1,1
1797,1,1
1798,2,2
1799,1,1
1800,1,1
1801,1,1
1802,1,1
1803,1,1
1804,1,1
1805,1,1
1806,1,1
1807,1,1
1809,1,1
1810,2,2
1811,1,1
1812,2,2
1814,1,1
1816,2,2
1817,1,1
1818,1,1
1820,1,1
1821,1,1
1822,2,2
1825,1,1
1826,1,1
1827,1,1
1828,1,1
1829,1,1
1830,1,1
1831,1,1
1832,1,1
1833,1,1
1834,1,1
1836,1,1
1837,1,1
1838,1,1
1839,1,1
1840,1,1
1841,1,1
1842,1,1
1844,1,1
1845,1,1
1846,1,1
1847,1,1
1848,1,1
1849,1,1
1850,1,1
1851,1,1
1852,1,1
1853,1,1
1854,1,1
1855,1,1
1856,1,2
1857,1,1
1858,2,2
1859,1,1
1860,1,1
1861,1,1
1862,1,1
1863,1,1
1864,1,1
1865,1,1
1866,1,1
1867,1,1
1868,1,1
1871,1,1
1872,1,1
1873,1,1
1874,1,1
1875,1,1
1876,1,1
1878,1,1
1879,1,1
1880,1,1
1881,1,1
1882,1,1
1883,1,1
1885,1,2
1886,1,1
1887,2,2
1888,1,1
1890,1,1
1891,1,1
1893,1,1
1894,1,1
1895,1,1
1896,1,1
1897,1,1
1898,1,1
1899,1,1
1900,1,1
1901,1,1
1902,1,1
1903,1,1
1904,1,1
1905,1,1
1906,1,1
1907,1,1
1908,1,1
1909,1,1
1910,1,1
1911,1,1
1912,1,1
1914,1,1
1915,1,1
1916,2,2
1918,1,1
1919,1,1
1920,1,1
1921,1,1
1922,1,1
1923,1,1
1924,1,1
1925,1,1
1926,1,1
1927,1,1
1928,1,1
1929,1,1
1931,1,1
1932,1,1
1933,1,1
1934,1,1
1935,1,1
1936,1,1
1937,1,1
1938,1,1
1939,1,1
1940,1,1
1941,1,1
1942,1,1
1943,1,1
1944,1,1
1945,2,2
1946,1,1
1947,1,1
1948,1,1
1949,1,1
1950,1,1
1952,1,1
1953,1,1
1954,1,1
1955,2,2
1956,1,1
1957,1,1
1958,1,1
1959,2,2
1960,1,1
1961,1,1
1963,1,1
1965,1,1
1966,1,1
1967,1,1
1968,1,1
1969,1,1
1970,1,1
1971,1,1
1972,2,2
1973,1,1
1974,1,1
1975,2,2
1976,1,1
1977,1,1
1978,1,1
1979,1,1
1980,1,1
1981,1,1
1982,1,1
1983,1,1
1984,1,1
1985,1,1
1986,1,1
1987,2,2
1988,1,1
1989,2,2
1990,2,2
1991,1,1
1992,1,1
1993,1,1
1994,1,1
1995,1,1
1996,1,1
1997,1,1
1998,1,1
1999,1,1
2000,1,1
2001,1,1
2002,1,1
2003,1,1
2004,2,2
2005,1,1
2006,2,2
2007,1,1
2009,2,2
2011,1,1
2012,1,1
2013,1,1
2014,1,1
2015,1,1
2016,1,1
2017,1,2
2020,1,1
2021,1,1
2022,1,1
2024,1,1
2025,1,1
2026,1,1
2027,1,1
2028,1,1
2029,1,1
2030,1,1
2031,1,1
2032,1,1
2033,1,1
2036,1,1
2037,1,1
2038,1,1
2039,1,1
2040,1,1
2041,1,1
2042,1,1
2043,1,1
2044,1,1
2045,1,1
2047,1,1
2049,1,1
2050,1,1
2051,1,1
2052,1,1
2053,1,1
2054,1,1
2055,1,1
2056,1,1
2057,1,1
2058,1,1
2059,1,1
2060,1,1
2061,2,2
2062,1,1
2063,1,1
2065,1,1
2066,1,1
2067,2,2
2069,1,1
2070,1,1
2071,1,1
2073,1,1
2074,2,2
2075,1,1
2076,1,1
2077,1,1
2078,1,1
2079,1,1
2080,1,1
2081,1,1
2082,1,1
2083,1,1
2084,1,1
2085,1,1
2086,1,1
2087,1,1
2088,1,1
2089,2,2
2091,1,1
2092,1,1
2093,1,1
2094,1,1
2095,1,1
2096,1,1
2097,1,1
2099,1,1
2100,1,1
2101,1,1
2102,1,1
2103,1,1
2105,1,1
2107,1,1
2108,1,1
2109,1,1
2110,1,1
2111,1,1
2112,2,2
2113,1,1
2114,1,1
2116,1,1
2118,1,1
2119,1,1
2120,1,1
2121,1,1
2122,1,1
2123,1,1
2124,1,1
2125,1,1
2126,1,1
2127,1,1
2128,2,2
2130,1,1
2131,1,1
2132,1,1
2133,1,1
2134,1,1
2136,1,1
2137,1,1
2138,1,1
2139,1,1
2141,1,1
2142,1,1
2143,1,1
2144,1,1
2145,1,1
2146,1,1
2147,2,2
2148,1,1
2150,1,1
2151,1,1
2152,1,1
2153,1,1
2154,1,1
2155,1,1
2156,1,1
2157,1,1
2158,1,1
2159,1,1
2160,1,1
2161,1,1
2163,1,1
2164,1,1
2166,1,1
2167,1,1
2168,1,1
2169,1,1
2173,1,1
2174,1,1
2175,1,1
2176,1,1
2177,1,1
2178,2,2
2179,1,1
2180,1,1
2181,1,1
2182,1,1
2184,1,1
2185,1,1
2186,1,1
2187,1,1
2188,1,1
2189,1,1
2190,1,1
2191,1,1
2192,1,1
2193,1,1
2194,1,1
2195,1,1
2196,1,1
2197,1,1
2199,1,1
2200,1,1
2201,1,1
2202,1,1
2203,1,1
2204,1,1
2206,1,1
2207,1,1
2208,1,1
2212,1,1
2213,1,1
2214,1,1
2215,1,1
2216,1,1
2217,1,1
2218,1,1
2219,1,1
2220,1,1
2221,1,1
2222,1,1
2223,1,1
2224,1,1
2225,1,1
2226,1,1
2227,1,1
2228,1,1
2229,1,1
2230,1,1
2231,1,1
2232,1,1
2233,1,1
2234,1,1
2236,1,1
2237,1,1
2238,2,2
2240,1,1
2242,1,1
2243,1,1
2244,1,1
2245,1,1
2246,1,1
2247,1,1
2249,1,1
2250,1,1
2251,1,1
2252,1,1
2254,1,1
2255,1,1
2256,1,1
2257,1,1
2258,1,1
2259,1,1
2261,1,1
2262,1,1
2263,1,1
2265,1,1
2266,1,1
2267,1,1
2268,1,1
2269,1,1
2270,1,1
2271,1,1
2272,1,1
2274,1,1
2275,1,1
2277,1,1
2278,1,1
2279,1,1
2280,1,1
2281,1,1
2282,1,1
2283,1,1
2284,1,1
2285,2,2
2286,1,1
2287,1,1
2289,1,1
2290,1,1
2291,1,1
2292,1,1
2293,1,1
2294,1,1
2295,1,1
2296,1,1
2297,1,1
2298,1,1
2299,1,1
2300,1,1
2302,1,1
2303,1,1
2304,1,1
2308,1,1
2309,1,1
2310,1,1
2311,1,1
2312,1,1
2314,1,1
2315,1,1
2316,1,1
2317,1,1
2318,1,1
2321,1,1
2322,1,1
2323,1,1
2324,1,1
2325,1,1
2326,1,1
2327,1,1
2328,1,1
2329,1,1
2330,1,1
2331,1,1
2332,1,1
2333,1,1
2335,1,1
2336,1,1
2337,1,1
2338,1,1
2339,1,1
2341,1,1
2342,1,1
2343,1,1
2344,1,1
2345,1,1
2346,1,1
2347,1,1
2348,1,1
2349,1,1
2350,1,1
2351,2,2
2352,1,1
2353,1,1
2354,1,1
2355,1,1
2357,1,1
2358,1,1
2359,1,1
2360,1,1
2361,1,1
2362,1,1
2363,1,1
2364,1,1
2365,1,1
2366,1,1
2367,1,1
2368,1,1
2369,1,1
2370,1,1
2371,1,1
2372,1,1
